Título,Preço (R$),Avaliação,Bairro,Imóvel,Características
Studio novo com vista imperdível do centro de SP !,86,4.61,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Piscina']"
São Paulo Itaim Bibi (Flat Newciti),124,4.94,Itaim Bibi,Flat inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Quarto tranquilo em casa,57,5.0,Liberdade,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro compartilhado e meio', 'Wi-Fi', 'Cozinha']"
Todo conforto centro S.Paulo - Studio I,85,4.79,República,Apartamento inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi']"
"Quality Bela Cintra ★★★★, Próximo à Av. Paulista!",140,4.79,Consolacao,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Studio 412 bairro- Consolação  com metrô próximo.,119,4.92,Consolacao,Loft inteiro,"['2 hóspedes', 'Estúdio', '2 camas', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
"Quarto c/ banheiro,Jardins,2 quadras Paulista e HC",61,4.74,Cerqueira César,Quarto inteiro,"['1 hóspede', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha']"
Apartamento próximo a USP em Pinheiros,144,4.88,Pinheiros,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio no 18° Andar,121,5.0,São Paulo,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
Lindo Studio ao lado do Metrô c/ Sacada & Cooktop!,75,4.89,Sé,Condomínio inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
CasApp Studio Novinho no Coração de São Paulo 204,106,4.81,República,Apartamento inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro', 'Wi-Fi', 'Cozinha', 'Piscina']"
Suíte confortável com cama de solteiro no Brooklin,54,5.0,Vila Olímpia,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha']"
HOSPEDAGEM RODEADA DE ÁREAS VERDES,99,,Vila Uberabinha,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi']"
#1008 - Cyclinn Faria Lima Itaim,214,4.83,Itaim Bibi,Apartamento inteiro,"['3 hóspedes', '1 quarto', '2 camas', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Piscina']"
Flat na Bela Cintra by Atlantica Residence,127,,flat,Quarto,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiros privado', 'Wi-Fi', 'Cozinha', 'Piscina']"
Studio Setin Downtown São Luis ( COM GARAGEM ),167,4.99,Consolacao,Apartamento inteiro,"['2 hóspedes', 'Estúdio', '1 cama', '1 banheiro', 'Wi-Fi', 'Estacionamento gratuito', 'Cozinha', 'Piscina']"
"Tranquilidade no miolo do BRÁS-SP, perto de tudo.",70,5.0,Brás,Quarto inteiro,"['2 hóspedes', '1 quarto', '1 cama', '1 banheiro e meio', 'Wi-Fi']"
